heading_ID,name_he,label
heading288,145.0,heading
heading289,253.0,heading
heading290,189.90001,heading
heading291,320.0,heading
heading292,199.0,heading
heading293,154.1,heading
heading294,259.0,heading
heading295,245.40001,heading
heading296,258.0,heading
heading297,14.400001000000001,heading
heading298,0.0,heading
heading299,14.8,heading
heading300,164.8,heading
heading301,256.7,heading
heading302,342.9,heading
heading303,94.8,heading
heading304,115.3,heading
heading305,72.4,heading
heading306,292.9,heading
heading307,348.2,heading
heading308,154.1,heading
heading309,38.0,heading
heading310,24.3,heading
heading311,338.1,heading
heading312,264.9,heading
heading313,71.7,heading
heading314,299.2,heading
heading315,247.0,heading
heading316,222.5,heading
heading317,159.8,heading
heading318,186.1,heading
heading319,179.4,heading
heading320,51.1,heading
heading321,358.5,heading
heading322,223.3,heading
heading323,31.5,heading
heading324,183.8,heading
heading325,117.5,heading
heading326,53.0,heading
heading327,68.3,heading
heading328,105.6,heading
heading329,290.0,heading
heading330,188.8,heading
heading331,157.7,heading
heading332,156.3,heading
heading333,25.8,heading
heading334,110.0,heading
heading335,227.6,heading
heading336,148.7,heading
heading337,43.9,heading
heading338,77.9,heading
heading339,236.5,heading
heading340,66.0,heading
heading341,145.8,heading
heading342,25.3,heading
heading343,167.8,heading
heading344,259.2,heading
heading345,263.8,heading
heading346,52.7,heading
heading347,109.1,heading
heading348,29.8,heading
heading349,212.0,heading
heading350,128.0,heading
heading351,309.6,heading
heading352,245.9,heading
heading353,220.3,heading
heading354,283.0,heading
heading355,95.8,heading
heading356,59.7,heading
heading357,42.5,heading
heading358,276.5,heading
heading359,29.4,heading
heading360,90.0,heading
heading361,91.6,heading
heading362,149.5,heading
heading363,182.2,heading
heading364,173.0,heading
heading365,115.5,heading
heading366,8.3,heading
heading367,23.0,heading
heading368,32.100002,heading
heading369,134.6,heading
heading370,314.7,heading
heading371,231.0,heading
heading372,197.3,heading
heading373,10.3,heading
heading374,331.0,heading
heading375,313.0,heading
heading376,73.2,heading
heading377,291.3,heading
heading378,252.0,heading
heading379,117.700005,heading
heading380,282.4,heading
heading381,122.0,heading
heading382,81.3,heading
heading383,86.7,heading
heading384,276.0,heading
heading385,49.7,heading
heading386,292.4,heading
heading387,251.2,heading
